year,imdb,title,clean_test,budget_2013$,binary_PASS,domgross_2013$,genres,prod_comps,overview,perc_women_producers,perc_women_directors
2013,tt1711425,21  over,notalk,13000000,0,25682380.0,['Comedy'],"['Mandeville Films', 'Relativity Media', 'SkyLand Entertainment', 'Virgin Produced']",brilliant student jeff chang has the most important interview of his life tomorrow  but today is still his birthday what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan,0.0,0.0
2012,tt1343727,dredd 3d,ok,45658735,1,13611086.0,"['Action', 'Science Fiction']","['Rena Film', 'DNA Films', 'Reliance Big Entertainment', 'IM Global', 'Peach Trees']",in the future america is a dystopian wasteland the latest scourge is mama a prostituteturneddrug pusher with a dangerous new drug and aims to take over the city the only possibility of stopping her is an elite group of urban police called judges who combine the duties of judge jury and executioner to deliver a brutal brand of swift justice but even the topranking judge dredd discovers that taking down mama isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series,0.0,0.0
2013,tt2024544,12 years a slave,notalk,20000000,0,53107035.0,"['Drama', 'History']","['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Regency Enterprises', 'Film4 Productions']",in the precivil war united states solomon northup a free black man from upstate new york is abducted and sold into slavery facing cruelty as well as unexpected kindnesses solomon struggles not only to stay alive but to retain his dignity in the twelfth year of his unforgettable odyssey solomon’s chance meeting with a canadian abolitionist will forever alter his life,0.25,0.0
2013,tt1272878,2 guns,notalk,61000000,0,75612460.0,"['Action', 'Comedy', 'Crime']","['Universal Pictures', 'Marc Platt Productions', 'EFO Films', 'Envision Entertainment', 'TriStar Pictures', 'Stage 6 Films', 'Foresight Unlimited', 'Oasis Entertainment', 'Herrick Entertainment', 'BOOM! Studios', 'Empyre Media Capital']",a dea agent and an undercover naval intelligence officer who have been tasked with investigating one another find they have been set up by the mob  the very organization the two men believe they have been stealing money from,0.0,0.0
2013,tt0453562,42,men,40000000,0,95020213.0,['Drama'],"['Warner Bros. Pictures', 'Legendary Pictures']",the powerful story of jackie robinson the legendary baseball player who broke major league baseball’s color barrier when he joined the roster of the brooklyn dodgers the film follows the innovative dodgers’ general manager branch rickey the mlb executive who first signed robinson to the minors and then helped to bring him up to the show,0.0,0.0
2013,tt1335975,47 ronin,men,225000000,0,38362475.0,"['Drama', 'Action', 'Fantasy']","['Mid Atlantic Films', 'Stuber Productions', 'Moving Picture Company', 'H2F Entertainment', 'Universal Pictures', 'Relativity Media']",kai—an outcast—joins oishi the leader of 47 outcast samurai  together they seek vengeance upon the treacherous overlord who killed their master and banished their kind  to restore honour to their homeland the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors,0.3333333333333333,0.0
2013,tt1606378,a good day to die hard,notalk,92000000,0,67349198.0,"['Action', 'Thriller']","['Mid Atlantic Films', 'Ingenious Media', 'Dune Entertainment', 'Big Screen Productions', 'Temple Hill Entertainment', 'TSG Entertainment', 'Giant Pictures', 'Origo Film Group', '20th Century Fox']",iconoclastic takenoprisoners cop john mcclane finds himself for the first time on foreign soil after traveling to moscow to help his wayward son jack  unaware that jack is really a highlytrained cia operative out to stop a nuclear weapons heist with the russian underworld in pursuit and battling a countdown to war the two mcclanes discover that their opposing methods make them unstoppable heroes,0.0,0.0
2013,tt2194499,about time,ok,12000000,1,15323921.0,"['Drama', 'Romance', 'Fantasy']","['Working Title Films', 'Translux', 'Universal Pictures', 'Relativity Media']",the night after another unsatisfactory new years party tims father tells his son that the men in his family have always had the ability to travel through time they cant change history but they can change what happens and has happened in their own lives thus begins the start of a lesson in learning to appreciate life itself as it is as it comes and most importantly the people living alongside us,0.3333333333333333,0.0
2013,tt1814621,admission,ok,13000000,1,18007317.0,"['Comedy', 'Drama', 'Romance']","['Focus Features', 'Depth of Field']",straitlaced princeton university admissions officer portia nathan is caught offguard when she makes a recruiting visit to an alternative high school overseen by her former college classmate the freewheeling john pressman pressman has surmised that jeremiah his gifted yet very unconventional student might well be the son that portia secretly gave up for adoption many years ago,0.0,0.0
2013,tt1815862,after earth,notalk,130000000,0,60522097.0,"['Science Fiction', 'Action', 'Adventure']","['Columbia Pictures', 'Overbrook Entertainment', 'Blinding Edge Pictures', 'Sony Pictures']",one thousand years after cataclysmic events forced humanitys escape from earth nova prime has become mankinds new home legendary general cypher raige returns from an extended tour of duty to his estranged family ready to be a father to his 13yearold son kitai when an asteroid storm damages cypher and kitais craft they crashland on a now unfamiliar and dangerous earth as his father lies dying in the cockpit kitai must trek across the hostile terrain to recover their rescue beacon his whole life kitai has wanted nothing more than to be a soldier like his father today he gets his chance,0.25,0.0
2013,tt1800241,american hustle,ok,40000000,1,148430908.0,"['Drama', 'Crime']","['Annapurna Pictures', 'Atlas Entertainment', 'Columbia Pictures']",a conman and his seductive partner are forced to work for a wild fbi agent who pushes them into a world of jersey powerbrokers and the mafia,0.25,0.0
2013,tt1322269,august osage county,ok,25000000,1,37304874.0,"['Comedy', 'Drama']","['Jean Doumanian Productions', 'Smoke House Pictures']",a look at the lives of the strongwilled women of the weston family whose paths have diverged until a family crisis brings them back to the midwest house they grew up in and to the dysfunctional woman who raised them,0.2,0.0
2013,tt1559547,beautiful creatures,ok,50000000,1,19452138.0,"['Fantasy', 'Drama', 'Romance']","['Alcon Entertainment', 'Belle Pictures', '3 Arts Entertainment', 'Warner Bros. Pictures']",ethan wate just wants to get to know lena duchannes better but unbeknownst to him lena has strange powers  as lenas 16th birthday approaches she might decide her fate to be good or evil  a choice which will impact her relationship forever,0.2,0.0
2013,tt2334873,blue jasmine,ok,18000000,1,33345833.0,['Drama'],"['Gravier Productions', 'Perdido Productions']",after experiencing a traumatic misfortune jasmine french a wealthy woman from new york moves to san francisco to live with her foster sister ginger and the firm purpose of getting a new life but she will be haunted by anxiety and memories of the past,0.3333333333333333,0.0
2013,tt1535109,captain phillips,notalk,55000000,0,107136417.0,"['Action', 'Drama', 'Thriller']","['Columbia Pictures', 'Michael De Luca Productions', 'Scott Rudin Productions', 'Trigger Street Productions']",the true story of captain richard phillips and the 2009 hijacking by somali pirates of the usflagged mv maersk alabama the first american cargo ship to be hijacked in two hundred years,0.0,0.0
